Protein_0me	CHIR-265/RAF-265	Sunitinib	CHIR-258/TKI-258	AMG-706	SB-431542	Dasatinib	ZD-6474	BMS-387032/SNS-032	ABT-869	AST-487	Sorafenib	Lapatinib	MLN-518	EKB-569	Roscovitine	SU-14813	PKC-412	Erlotinib	JNJ-7706621	SB-202190	CP-690550	VX-680/MK-0457	Flavopiridol	CP-724714	Staurosporine	LY-333531	CI-1033	Imatinib	PI-103	GW-2580	Gefitinib	AZD-1152HQPA	VX-745	MLN-8054	SB-203580	BIRB-796	SB-203580	GW-786034	PTK-787
2HW7	-43.252	-52.406	-49.796	-37.371	-40.053	-54.772	-59.599	-45.326	-37.402	-53.066	-45.970	-56.756	-46.933	-56.835	-37.668	-38.940	-29.365	-37.516	-36.954	-45.618	-47.467	-46.419	-50.422	-43.158	-40.554	-49.314	-42.175	-54.302	-38.867	-50.317	-44.417	-57.324	-32.117	-28.773	-40.770	-41.679	-38.746	-51.823	-38.769
2Z2W	-45.230	-54.648	-45.919	-40.968	-39.306	-55.797	-56.274	-45.864	-39.878	-62.358	-44.850	-54.868	-49.097	-57.585	-36.872	-42.416	-26.772	-42.028	-36.501	-37.524	-42.704	-48.741	-44.663	-42.141	-39.296	-45.109	-47.670	-46.357	-32.279	-50.561	-46.508	-54.817	-33.776	-32.944	-36.223	-48.194	-37.853	-56.414	-38.453
1U59	-43.973	-50.369	-47.257	-38.579	-35.938	-52.265	-53.880	-46.177	-42.941	-60.884	-46.808	-54.500	-46.457	-59.739	-35.997	-45.397	-27.729	-38.150	-33.104	-39.572	-49.061	-52.658	-46.573	-41.025	-49.289	-29.740	-38.241	-51.171	-36.097	-52.140	-42.643	-58.985	-34.700	-29.370	-34.752	-46.528	-37.751	-55.320	-37.444
3PP0	-45.643	-38.236	-35.537	-34.070	-31.092	-40.736	-39.587	-27.397	-36.155	-48.506	-43.879	-44.378	-23.611	-25.304	-32.842	-33.154	0.350	-41.568	-40.367	-28.312	-17.311	-38.007	-30.224	-42.106	40.205	313.929	-43.832	-39.857	-28.643	-41.180	-47.057	-42.743	-24.162	-27.879	-31.841	-38.670	-27.436	-29.838	-35.743
3QQU	-43.589	-45.506	-51.180	-37.745	-35.422	-58.884	-47.090	-41.701	-44.642	-55.889	-44.988	-46.817	-41.830	-55.138	-35.962	-40.685	-35.138	-34.685	-32.057	-48.728	-55.692	-47.758	-60.640	-42.412	-53.800	-38.606	-44.032	-50.459	-36.425	-56.873	-55.371	-40.287	-30.346	-30.815	-32.477	-39.276	-36.536	-53.016	-38.349
3BBT	-46.500	-32.056	-29.973	-41.845	-37.847	-43.047	-41.252	-23.139	-39.596	-43.557	-44.562	-39.144	-38.023	-36.194	-41.783	-37.760	-28.514	-44.298	-34.143	-33.030	-34.096	-45.597	-25.778	-45.868	-13.633	-18.724	-47.704	-46.416	-33.911	-40.512	-46.779	-38.266	-25.522	-33.935	-36.029	-49.153	-39.729	-31.307	-39.926
2ITN	-42.316	-49.307	-40.610	-40.266	-35.404	-48.448	-43.527	-40.410	-44.581	-46.688	-43.037	-38.857	-39.767	-54.010	-36.423	-44.340	-26.621	-38.940	-37.588	-33.866	-41.100	-45.212	-44.933	-40.988	-40.508	-38.594	-42.483	-46.307	-30.785	-46.277	-41.632	-53.679	-34.290	-32.168	-38.913	-42.976	-40.552	-45.711	-36.917
2WEL	-40.161	-41.650	-44.219	-38.064	-33.795	-49.673	-46.930	-42.688	-38.072	-53.215	-38.731	-42.879	-38.565	-52.370	-36.798	-37.878	-26.659	-36.258	-37.984	-37.922	-46.238	-41.472	-42.771	-38.356	-46.913	-38.999	-41.369	-48.897	-29.221	-47.527	-43.609	-43.601	-36.901	-29.152	-38.122	-43.514	-32.107	-47.703	-34.219
2F57	-42.847	-51.899	-54.121	-34.456	-37.329	-59.942	-53.811	-45.422	-36.540	-61.777	-42.933	-51.660	-49.624	-53.468	-33.030	-38.456	-31.597	-33.558	-28.822	-42.113	-45.362	-52.965	-47.923	-40.960	-43.860	-49.888	-47.534	-50.881	-32.315	-52.933	-58.619	-54.876	-34.255	-30.098	-36.515	-46.733	-40.322	-53.750	-34.145
2V7O	-46.621	-42.477	-41.541	-33.630	-33.939	-43.902	-46.696	-37.658	-38.559	-48.845	-41.774	-47.343	-40.656	-48.526	-35.870	-42.272	-29.952	-39.605	-32.753	-34.375	-35.752	-42.718	-46.575	-41.729	-44.402	-42.718	-44.631	-44.586	-33.466	-47.773	-42.041	-48.539	-34.585	-30.697	-32.597	-39.777	-35.017	-44.866	-35.521
2VZ6	-43.888	-35.992	-38.214	-38.828	-37.697	-41.091	-44.834	-30.974	-41.351	-43.264	-40.715	-39.915	-36.773	-42.300	-38.831	-38.080	-33.656	-38.133	-31.865	-32.968	-24.861	-40.201	-33.884	-44.091	-28.585	-27.137	-44.448	-38.649	-33.902	-37.006	-41.176	-40.711	-27.905	-28.884	-38.724	-45.225	-39.941	-47.153	-37.912
3BHH	-44.254	-41.505	-41.956	-37.504	-36.920	-46.862	-44.976	-38.268	-36.475	-50.165	-42.046	-47.727	-42.747	-48.218	-37.639	-40.889	-20.423	-41.782	-28.514	-32.677	-35.780	-45.195	-44.941	-38.705	-17.357	4.486	-44.670	-45.939	-29.764	-43.846	-44.485	-54.061	-31.539	-27.123	-33.707	-39.662	-34.863	-44.900	-37.158
2C47	-42.028	-44.642	-42.017	-33.982	-37.037	-50.251	-46.502	-38.877	-36.942	-49.890	-39.293	-46.572	-46.090	-49.862	-35.817	-42.106	-33.578	-34.821	-31.377	-40.538	-41.478	-43.343	-44.952	-41.419	-40.862	-38.762	-40.518	-43.510	-31.642	-51.466	-45.735	-45.241	-32.854	-29.378	-35.046	-44.491	-38.594	-45.867	-32.400
2IZS	-48.428	-58.728	-63.619	-41.881	-39.624	-62.636	-61.569	-49.086	-39.140	-64.070	-48.688	-53.964	-46.177	-57.034	-39.332	-41.011	-2.763	-41.039	-38.782	-49.253	-49.072	-58.055	-58.775	-46.521	-36.815	-44.593	-49.377	-52.169	-30.926	-58.403	-67.945	-52.297	-32.383	-28.265	-37.554	-43.326	-40.258	-59.464	-36.534
2CMW	-40.596	-37.386	-38.259	-36.385	-34.514	-40.077	-41.994	-33.611	-38.963	-43.407	-41.941	-37.381	-31.259	-50.840	-37.466	-34.676	-32.216	-33.831	-30.971	-30.610	-33.902	-46.197	-38.643	-37.927	-37.162	-41.812	-40.190	-40.669	-30.325	-47.036	-42.716	-42.472	-30.023	-29.951	-32.733	-37.891	-35.812	-42.775	-35.091
3LM0	-44.497	-40.871	-38.189	-36.647	-45.145	-43.084	-39.332	-35.159	-40.045	-43.081	-47.141	-43.408	-37.024	-43.443	-36.156	-41.260	-22.127	-40.754	-37.966	-37.579	-35.287	-38.296	-39.469	-41.874	-37.554	-34.537	-43.641	-42.214	-34.034	-37.787	-45.476	-43.885	-36.576	-31.496	-37.692	-42.377	-39.790	-43.348	-36.020
1OEC	-48.718	-49.830	-51.808	-37.218	-35.749	-55.401	-51.510	-46.645	-39.761	-52.914	-45.897	-50.487	-48.079	-58.912	-35.428	-43.940	-30.569	-35.495	-34.755	-42.995	-53.840	-48.158	-45.465	-44.145	-40.440	-49.358	-46.442	-54.907	-31.436	-52.678	-42.535	-52.288	-33.553	-26.892	-33.739	-41.917	-41.427	-52.397	-36.781
3E3B	-48.152	-38.556	-34.662	-41.404	-38.971	-40.626	-40.188	-31.195	-40.874	-42.351	-45.000	-41.442	-38.233	-40.928	-41.386	-39.379	-32.402	-40.705	-34.289	-34.688	-31.831	-47.217	-31.078	-42.120	-34.551	-30.258	-44.456	-41.193	-38.197	-41.337	-43.858	-44.678	-27.945	-37.700	-37.607	-46.621	-41.066	-36.097	-41.482
3RP0	-41.522	-45.556	-39.980	-38.555	-40.695	-51.469	-44.692	-38.389	-39.971	-51.065	-44.153	-47.551	-44.579	-50.590	-34.808	-41.850	-29.442	-38.172	-34.043	-34.134	-43.344	-43.454	-38.275	-45.040	-41.553	-45.957	-47.608	-43.240	-33.272	-50.260	-40.922	-40.571	-39.903	-33.004	-41.947	-44.020	-42.935	-41.655	-36.626
3GQI	-49.711	-45.696	-45.425	-39.119	-37.778	-50.828	-50.895	-40.508	-44.317	-52.279	-46.733	-44.503	-39.281	-53.602	-35.280	-47.744	-17.415	-40.446	-35.588	-36.140	-45.399	-47.257	-41.340	-41.347	-35.527	-31.660	-47.191	-45.865	-38.278	-51.442	-46.524	-60.305	-37.548	-29.152	-35.594	-45.965	-38.175	-50.038	-36.410
1XBC	-52.312	-49.993	-40.772	-39.217	-38.571	-52.693	-49.370	-42.295	-43.656	-49.331	-46.737	-47.367	-41.523	-55.518	-36.745	-50.518	-23.932	-41.535	-33.111	-42.011	-44.183	-46.916	-43.967	-42.598	-46.208	-22.337	-39.979	-45.565	-34.829	-49.215	-44.311	-56.433	-35.474	-30.863	-40.881	-48.767	-37.988	-45.870	-36.682
3H3C	-45.569	-49.734	-52.998	-36.344	-37.757	-66.644	-52.694	-48.213	-42.159	-58.928	-50.062	-53.360	-50.749	-57.970	-37.245	-38.723	-28.472	-38.990	-34.770	-48.304	-57.132	-53.325	-57.729	-42.689	-51.109	-54.067	-42.363	-57.432	-32.033	-54.539	-57.622	-52.091	-34.642	-32.984	-37.580	-44.682	-38.414	-56.709	-39.277
2O5K	-49.088	-38.992	-27.011	-40.330	-37.293	-45.861	-38.907	-29.725	-45.433	-42.840	-44.308	-36.956	-45.089	-33.850	-39.649	-45.419	-34.903	-42.740	-34.807	-31.464	-30.670	-44.392	-28.611	-51.177	-26.669	-28.811	-44.256	-44.858	-34.308	-39.555	-43.838	-41.143	-36.740	-41.797	-35.900	-52.275	-35.175	-34.105	-40.989
3EYG	-42.472	-35.326	-41.207	-40.032	-38.067	-44.200	-39.908	-33.424	-40.723	-42.711	-43.841	-39.760	-30.913	-43.859	-34.501	-32.886	-28.092	-37.912	-32.848	-37.452	-35.186	-43.825	-38.063	-41.309	6.446	-21.487	-41.327	-42.924	-33.349	-42.306	-45.778	-48.352	-33.769	-31.298	-38.847	-44.848	-40.150	-48.545	-42.591
2CDZ	-39.054	-43.996	-46.328	-34.116	-37.791	-54.649	-49.876	-44.715	-33.816	-52.832	-41.007	-46.518	-44.049	-53.888	-38.265	-36.094	-33.262	-36.127	-30.428	-38.221	-44.527	-47.137	-40.736	-40.931	-38.510	-49.339	-41.829	-44.504	-29.488	-50.014	-43.760	-47.235	-30.360	-29.003	-37.379	-45.164	-40.105	-48.408	-33.636
2XIK	-36.941	-31.219	-40.326	-33.187	-33.882	-42.998	-44.639	-29.059	-43.081	-46.295	-42.510	-37.450	-32.887	-46.537	-28.727	-31.898	-28.805	-35.936	-29.724	-37.931	-32.308	-39.436	-29.861	-38.062	-11.580	-21.771	-41.644	-33.491	-29.654	-41.201	-41.107	-36.174	-26.975	-25.367	-32.373	-39.874	-35.749	-40.277	-34.614
2HY8	-44.147	-51.567	-50.251	-36.090	-37.199	-52.064	-55.004	-43.488	-33.977	-59.124	-43.402	-48.344	-45.831	-60.151	-34.659	-36.677	-35.291	-38.108	-35.652	-41.422	-47.065	-46.837	-46.571	-46.754	-51.409	-44.542	-39.355	-47.018	-29.929	-51.111	-55.957	-51.104	-31.071	-23.959	-38.143	-46.532	-37.368	-49.364	-34.491
3SOC	-40.650	-35.922	-26.718	-40.407	-45.953	-45.845	-34.609	-25.303	-38.500	-49.789	-48.530	-28.412	-33.743	-32.325	-38.162	-41.479	-25.123	-37.677	-35.809	-32.886	-27.486	-44.129	-23.266	-36.843	-15.319	-25.812	-42.768	-41.952	-31.416	-40.987	-39.572	-38.264	-24.225	-39.487	-38.309	-46.942	-41.271	-29.491	-35.571
3QRJ	-46.035	-44.923	-45.164	-37.502	-32.663	-56.248	-45.947	-43.862	-37.979	-57.960	-41.260	-28.736	-43.015	-47.089	-32.288	-38.707	-11.899	-32.384	-31.309	-47.520	-52.344	-51.465	-43.118	-38.564	-28.241	-41.137	-33.734	-49.119	-22.704	-50.687	-54.417	-31.325	-37.665	-27.458	-31.816	-36.963	-32.054	-60.556	-35.824
2EB3	-43.040	-48.449	-40.146	-40.513	-37.847	-46.954	-46.101	-47.772	-41.684	-49.734	-42.120	-47.807	-45.014	-58.839	-38.979	-46.175	-35.859	-41.885	-34.816	-35.054	-40.637	-44.380	-39.637	-47.315	-40.894	-49.121	-48.594	-48.571	-30.412	-47.701	-45.460	-45.932	-35.700	-35.264	-36.083	-45.809	-38.619	-47.374	-35.989
2JBO	-44.333	-49.088	-56.573	-36.126	-38.651	-54.296	-51.569	-51.818	-41.516	-54.165	-48.294	-56.499	-41.157	-61.119	-32.996	-42.427	-31.249	-39.730	-36.986	-44.042	-39.609	-46.607	-43.970	-45.547	-29.341	-27.350	-46.738	-46.570	-30.948	-54.837	-44.686	-50.351	-33.990	-30.874	-33.970	-42.022	-38.812	-52.157	-46.857
2X4F	-43.796	-39.578	-37.846	-38.329	-39.686	-43.484	-35.261	-28.894	-40.776	-40.657	-42.736	-42.856	-38.500	-43.376	-34.903	-40.929	-22.775	-33.850	-32.692	-33.129	-23.430	-36.159	-26.340	-40.518	-21.882	-26.987	-41.933	-37.188	-31.502	-37.328	-42.663	-46.965	-29.592	-28.803	-30.656	-40.979	-32.859	-35.198	-33.492
2WQN	-40.482	-43.078	-39.998	-37.961	-36.244	-44.509	-46.048	-38.323	-35.383	-47.911	-44.988	-42.574	-38.637	-41.014	-32.155	-40.455	-32.566	-37.281	-33.604	-38.201	-42.470	-46.618	-43.581	-36.453	-41.499	-26.598	-41.272	-45.566	-27.681	-49.416	-49.407	-45.881	-37.168	-42.106	-38.217	-39.624	-40.322	-51.516	-36.945
2XNM	-42.860	-33.047	-24.845	-39.530	-34.961	-42.439	-33.834	-29.768	-38.449	-40.457	-45.333	-31.670	-31.479	-37.475	-39.296	-44.452	-26.246	-42.520	-35.305	-37.777	-31.570	-40.549	-35.327	-41.677	-32.261	-33.763	-43.250	-36.925	-34.028	-40.786	-39.719	-34.284	-40.042	-54.514	-37.231	-38.655	-41.807	-40.329	-37.788
2VWZ	-52.864	-46.557	-37.969	-40.933	-41.589	-48.334	-46.580	-37.862	-41.139	-47.754	-46.113	-44.767	-40.184	-54.782	-39.461	-46.158	-28.689	-42.348	-34.539	-35.033	-32.863	-47.698	-44.053	-44.048	-42.339	-36.815	-47.002	-49.317	-33.528	-50.051	-47.513	-53.755	-44.499	-37.871	-38.313	-47.500	-39.548	-50.381	-42.405
3GGF	-45.514	-40.080	-42.310	-41.547	-38.651	-45.403	-42.819	-33.762	-41.734	-51.836	-50.715	-40.747	-35.311	-48.856	-37.833	-45.891	-17.290	-41.915	-36.045	-34.818	-36.102	-41.555	-39.165	-45.116	-28.336	-37.792	-43.743	-46.776	-33.207	-42.192	-43.919	-46.731	-41.946	-35.904	-38.351	-43.449	-37.073	-46.612	-36.476
3DKO	-45.542	-40.667	-29.680	-37.961	-33.600	-43.103	-34.195	-29.418	-35.589	-49.003	-44.487	-27.510	-33.204	-28.834	-32.452	-37.346	-28.113	-30.855	-30.699	-43.044	-22.273	-35.780	-20.589	-30.816	0	-17.521	-33.528	-43.390	-27.998	-41.735	-47.681	-35.351	-32.654	-24.524	-28.940	-40.483	-27.902	-45.587	-31.878
3A7H	-48.252	-55.871	-47.369	-40.398	-38.833	-48.646	-49.621	-46.871	-40.892	-58.790	-48.879	-44.993	-53.080	-56.721	-33.977	-50.434	-31.744	-38.947	-38.557	-37.419	-45.708	-46.613	-40.511	-44.418	-48.218	-39.073	-43.732	-48.738	-30.798	-55.791	-49.345	-54.109	-41.475	-38.642	-40.195	-48.863	-45.918	-49.377	-38.746
3H9F	-51.759	-40.747	-41.337	-37.617	-39.730	-48.666	-45.004	-38.236	-39.588	-49.605	-75.449	-33.690	-32.408	-43.805	-41.940	-48.352	-32.916	-43.177	-37.137	-35.225	-32.585	-48.757	-39.588	-63.536	-17.569	-18.286	-49.498	-53.259	-26.233	-54.242	-45.043	-44.903	-34.605	-36.811	-53.913	-47.013	-53.928	-89.844	-39.277
1SM2	-44.850	-44.216	-45.820	-38.903	-34.727	-52.645	-51.784	-45.625	-39.036	-52.394	-44.645	-55.784	-44.782	-56.184	-35.152	-38.897	-29.394	-40.336	-32.871	-38.591	-45.978	-47.072	-39.553	-44.314	-41.529	-35.873	-40.254	-48.174	-33.046	-47.209	-44.789	-49.574	-31.985	-30.799	-36.911	-48.991	-34.313	-48.592	-39.196
3G2F	-44.506	-30.494	-36.744	-38.062	-37.251	-43.199	-40.975	-31.616	-41.513	-40.892	-50.100	-36.804	-31.623	-39.623	-36.088	-37.890	-19.057	-40.052	-39.198	-33.673	-33.762	-38.119	-30.316	-37.951	21.182	-7.518	-38.501	-39.365	-32.993	-37.727	-43.896	-48.002	-34.543	-29.063	-34.230	-40.363	-39.266	-33.990	-37.349
2Y7J	-42.918	-60.939	-67.445	-35.081	-36.895	-70.233	-65.004	-61.094	-39.689	-70.475	-50.617	-68.659	-57.513	-69.949	-36.995	-40.244	-34.106	-41.010	-36.589	-52.188	-43.546	-58.412	-55.078	-43.562	-35.192	-53.489	-41.166	-61.625	-31.533	-56.578	-51.820	-62.492	-31.668	-27.889	-41.200	-43.467	-44.844	-64.059	-35.804
2GDO	-56.011	-76.388	-97.414	-45.034	-47.319	-109.487	-80.708	-77.095	-45.425	-86.367	-65.223	-88.772	-69.010	-87.580	-34.279	-48.050	-28.350	-47.346	-37.089	-75.929	-68.352	-79.474	-73.812	-56.984	198.949	0.640	-52.465	-77.005	-29.725	-78.443	-83.364	-72.614	-42.503	-24.465	-46.561	-54.762	-50.545	-82.792	-46.140
3MY0	-43.856	-38.841	-41.664	-38.360	-36.831	-46.694	-40.393	-25.761	-39.780	-45.731	-42.970	-39.682	-33.186	-37.659	-33.381	-38.705	-23.344	-46.746	-37.466	-37.166	-29.064	-38.565	-43.567	-45.534	-23.418	-34.171	-45.078	-46.602	-33.069	-39.436	-41.487	-35.780	-32.470	-31.685	-33.139	-42.598	-33.097	-40.674	-42.481
3D7T	-40.275	-43.881	-44.251	-34.093	-30.505	-47.384	-50.401	-39.577	-33.650	-50.515	-41.986	-48.019	-43.540	-46.129	-31.509	-36.048	-28.725	-30.299	-28.838	-36.284	-40.362	-45.740	-42.620	-38.436	-38.489	-39.650	-38.897	-48.208	-27.290	-46.553	-45.209	-45.280	-29.621	-32.399	-30.207	-41.360	-35.250	-46.213	-33.254
1AD5	-46.043	-40.662	-36.557	-43.425	-38.358	-47.578	-39.873	-30.351	-41.281	-48.737	-48.767	-33.554	-37.670	-34.410	-39.166	-47.482	-31.567	-37.390	-35.480	-33.195	-35.106	-45.689	-33.274	-39.577	-32.383	-30.073	-49.841	-40.604	-30.894	-41.595	-43.739	-38.293	-35.149	-43.232	-35.453	-40.405	-35.381	-38.643	-38.377
1UWJ	-52.502	-30.987	-32.530	-33.041	-33.219	-39.026	-35.204	-22.443	-45.906	-44.019	-48.461	-20.470	-25.877	-25.011	-39.246	-34.635	-13.015	-31.746	-32.131	-27.366	-32.420	-30.658	-19.645	-41.986	0	0	-42.825	-34.737	-24.460	-40.825	-48.605	-41.784	-31.917	-28.358	-31.523	-34.839	-28.703	-42.588	-39.167
1U4D	-43.398	-35.585	-41.649	-42.196	-40.559	-43.652	-35.789	-28.015	-34.771	-46.980	-45.819	-39.119	-33.385	-41.581	-33.604	-36.247	-12.102	-42.613	-37.069	-37.554	-29.923	-41.775	-30.411	-43.382	4.510	-8.699	-43.080	-39.036	-31.474	-44.504	-45.124	-38.210	-32.953	-37.135	-38.447	-47.729	-39.310	-42.477	-40.259
2ZV2	-41.722	-28.221	-35.720	-39.950	-33.697	-36.161	-31.923	-24.826	-36.450	-37.692	-45.439	-34.962	-23.501	-38.076	-38.405	-28.470	-25.765	-37.522	-33.516	-29.758	-22.625	-38.041	-18.726	-39.227	-18.299	-24.987	-38.621	-36.586	-33.417	-37.710	-39.273	-38.832	-29.223	-27.047	-34.535	-44.070	-36.137	-36.178	-37.432
2P2I	-38.520	-28.759	-38.625	-41.563	-22.645	-39.045	-43.308	-32.448	-37.020	-43.287	-46.365	1.477	-38.474	-25.417	-18.652	-30.710	0	-24.705	-31.852	-9.482	-36.265	-40.347	677.530	-33.794	0	0	-32.501	-48.572	61.918	-47.430	-31.224	-39.158	-28.884	-3.034	-12.517	-34.595	-23.141	-37.605	-52.988
3L8P	-48.777	-33.801	-34.798	-40.135	-38.522	-47.227	-38.073	-32.338	-44.636	-47.513	-46.535	-35.157	-35.744	-42.348	-35.421	-35.688	-7.542	-42.593	-36.191	-33.602	-31.719	-45.493	-35.761	-43.043	-20.732	-26.289	-47.235	-42.783	-39.941	-43.760	-44.613	-40.159	-33.404	-31.535	-35.648	-45.760	-40.957	-47.211	-39.316
2VAG	-45.202	-34.909	-53.016	-40.366	-38.273	-66.418	-48.392	-39.936	-46.905	-54.495	-74.963	-26.655	-57.424	-42.916	-37.291	-35.388	0	-40.138	-35.098	-46.731	-31.284	-53.723	-34.398	-39.843	7.910	148.315	-40.179	-47.757	-33.787	-49.329	-50.470	-44.191	-33.488	-21.802	-35.371	-48.954	-33.546	-65.966	-34.926
3NR9	-47.717	-45.332	-46.373	-37.120	-35.571	-54.786	-46.340	-39.111	-39.971	-53.214	-48.081	-41.747	-42.573	-52.740	-36.561	-39.473	-33.459	-36.330	-36.474	-42.950	-37.705	-44.144	-50.680	-48.399	-43.367	-27.553	-39.829	-42.495	-37.423	-51.398	-50.206	-45.533	-29.535	-32.850	-34.091	-54.210	-37.075	-54.081	-36.680
2WU6	-52.463	-42.346	-41.511	-39.098	-37.094	-51.089	-48.630	-38.606	-41.231	-51.006	-46.308	-43.775	-43.963	-52.491	-36.213	-40.055	-17.780	-36.082	-37.987	-34.749	-35.346	-41.418	-42.454	-41.117	-40.215	-36.685	-40.821	-40.948	-34.824	-44.837	-43.246	-46.269	-34.464	-27.973	-32.486	-48.832	-35.930	-44.447	-38.159
1QPJ	-47.695	-53.354	-49.004	-41.597	-38.220	-53.216	-57.025	-46.186	-47.061	-56.171	-43.371	-57.450	-48.934	-58.746	-39.726	-45.810	-29.562	-39.607	-37.224	-38.821	-43.592	-49.420	-49.053	-47.312	-47.935	-39.764	-50.290	-57.286	-34.930	-50.293	-47.236	-56.150	-36.682	-27.067	-40.059	-43.159	-40.386	-49.411	-39.216
3OCS	-44.869	-32.649	-34.311	-37.376	-33.244	-39.679	-36.253	-33.422	-42.437	-40.791	-44.154	-35.466	-35.827	-35.770	-34.020	-35.222	-24.523	-33.018	-34.538	-32.337	-34.290	-41.235	-29.251	-43.274	-24.075	-22.851	-40.270	-41.700	-26.323	-40.733	-43.682	-37.767	-32.063	-31.761	-28.424	-41.487	-36.788	-41.638	-31.885
3GC7	-43.845	-46.586	-44.430	-38.062	-38.614	-51.857	-46.070	-45.562	-39.863	-48.351	-46.542	-42.845	-39.863	-54.253	-34.761	-41.283	-34.888	-37.371	-34.281	-40.147	-49.344	-49.261	-49.195	-43.010	-43.561	-54.921	-49.834	-50.139	-27.717	-55.710	-46.346	-40.575	-43.066	-33.044	-34.454	-44.267	-37.131	-54.500	-38.841
